INFO:__main__:🚀 Бот запускается...
INFO:__main__:✅ База данных инициализирована
INFO:bot.api:✅ API routes настроены
INFO:aiogram.dispatcher:Start polling
INFO:__main__:🌐 Веб-сервер запущен на порту 8080
INFO:aiogram.dispatcher:Run polling for bot @cloaknetvbot id=8287902513 - 'CloakNet чат-Bot'
INFO:aiohttp.access:127.0.0.1 [15/Mar/2026:05:48:29 +0000] "GET /api/payments?telegram_id=2056591682 HTTP/1.0" 200 175 "https://test.cloaknet.site/miniapp" "Mozilla/5.0 (Linux; Android 15; K) Telegram-Android/12.5.1 (Tecno TECNO CM7; Android 15; SDK 35; HIGH)"
INFO:aiogram.event:Update id=406095030 is handled. Duration 37 ms by bot id=8287902513
INFO:aiohttp.access:127.0.0.1 [15/Mar/2026:05:49:05 +0000] "GET /miniapp HTTP/1.0" 200 31884 "-" "Mozilla/5.0 (Linux; Android 15; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.7632.159 Mobile Safari/537.36 Telegram-Android/12.5.1 (Tecno TECNO CM7; Android 15; SDK 35; HIGH)"
INFO:aiohttp.access:127.0.0.1 [15/Mar/2026:05:49:06 +0000] "GET /api/user?telegram_id=2056591682 HTTP/1.0" 200 364 "https://test.cloaknet.site/miniapp" "Mozilla/5.0 (Linux; Android 15; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.7632.159 Mobile Safari/537.36 Telegram-Android/12.5.1 (Tecno TECNO CM7; Android 15; SDK 35; HIGH)"
INFO:aiogram.event:Update id=406095031 is handled. Duration 109 ms by bot id=8287902513
INFO:aiogram.event:Update id=406095032 is handled. Duration 129 ms by bot id=8287902513
INFO:aiohttp.access:127.0.0.1 [15/Mar/2026:06:01:23 +0000] "GET /miniapp HTTP/1.0" 200 47814 "-" "curl/8.5.0"
INFO:aiohttp.access:127.0.0.1 [15/Mar/2026:06:08:14 +0000] "GET /api/.env HTTP/1.0" 404 174 "-" "Mozilla/5.0 (Linux; U; Android 2.3.5; en-us; LG-P930/V10j Build/GRJ90) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"
INFO:aiohttp.access:127.0.0.1 [15/Mar/2026:06:08:14 +0000] "GET /app_dev.php/_profiler/phpinfo HTTP/1.0" 404 174 "-" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X; en-US; rv:1.8.1.13) Gecko/20080313 Firefox"
INFO:aiohttp.access:127.0.0.1 [15/Mar/2026:06:08:16 +0000] "GET /apps/.env HTTP/1.0" 404 174 "-" "Opera/9.64 (X11; Linux x86_64; U; de) Presto/2.1.1"
INFO:aiohttp.access:180.149.126.7 [15/Mar/2026:06:49:58 +0000] "GET / HTTP/1.1" 404 174 "-" "Mozilla/5.0 (Windows NT 5.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.90 Safari/537.36"
INFO:aiohttp.access:127.0.0.1 [15/Mar/2026:07:08:02 +0000] "GET /miniapp HTTP/1.0" 200 47814 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 YaBrowser/24.10.0.0 Safari/537.36"
INFO:aiohttp.access:149.86.227.60 [15/Mar/2026:07:16:55 +0000] "GET / HTTP/1.1" 404 174 "-" "Mozilla/5.0"
INFO:aiohttp.access:16.58.56.214 [15/Mar/2026:07:35:39 +0000] "GET / HTTP/1.1" 404 174 "-" "visionheight.com/scan Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Chrome/126.0.0.0 Safari/537.36"
INFO:aiogram.event:Update id=406095033 is handled. Duration 94 ms by bot id=8287902513
INFO:aiohttp.access:127.0.0.1 [15/Mar/2026:07:37:39 +0000] "GET /miniapp HTTP/1.0" 200 47814 "-" "Mozilla/5.0 (Linux; Android 15; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.7632.159 Mobile Safari/537.36 Telegram-Android/12.5.1 (Tecno TECNO CM7; Android 15; SDK 35; HIGH)"
INFO:aiohttp.access:127.0.0.1 [15/Mar/2026:07:37:39 +0000] "GET /api/user?telegram_id=2056591682 HTTP/1.0" 200 364 "https://test.cloaknet.site/miniapp" "Mozilla/5.0 (Linux; Android 15; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.7632.159 Mobile Safari/537.36 Telegram-Android/12.5.1 (Tecno TECNO CM7; Android 15; SDK 35; HIGH)"
INFO:aiohttp.access:127.0.0.1 [15/Mar/2026:07:37:44 +0000] "GET /miniapp HTTP/1.0" 200 47814 "-" "Mozilla/5.0 (Linux; Android 15; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.7632.159 Mobile Safari/537.36 Telegram-Android/12.5.1 (Tecno TECNO CM7; Android 15; SDK 35; HIGH)"
INFO:aiohttp.access:127.0.0.1 [15/Mar/2026:07:37:45 +0000] "GET /api/user?telegram_id=2056591682 HTTP/1.0" 200 364 "https://test.cloaknet.site/miniapp" "Mozilla/5.0 (Linux; Android 15; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.7632.159 Mobile Safari/537.36 Telegram-Android/12.5.1 (Tecno TECNO CM7; Android 15; SDK 35; HIGH)"
INFO:aiohttp.access:16.58.56.214 [15/Mar/2026:07:38:26 +0000] "GET / HTTP/1.1" 404 174 "-" "visionheight.com/scan Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Chrome/126.0.0.0 Safari/537.36"
INFO:aiohttp.access:16.58.56.214 [15/Mar/2026:07:40:10 +0000] "UNKNOWN / HTTP/1.0" 400 214 "-" "-"
INFO:aiohttp.access:16.58.56.214 [15/Mar/2026:07:41:43 +0000] "UNKNOWN / HTTP/1.0" 400 213 "-" "-"
INFO:aiohttp.access:46.151.178.13 [15/Mar/2026:07:42:24 +0000] "GET /ip HTTP/1.1" 404 174 "-" "Mozilla/5.0"
INFO:aiohttp.access:16.58.56.214 [15/Mar/2026:07:43:29 +0000] "UNKNOWN / HTTP/1.0" 400 214 "-" "-"
INFO:aiohttp.access:127.0.0.1 [15/Mar/2026:07:48:20 +0000] "POST /webhook/yoomoney HTTP/1.0" 200 154 "-" "AHC/2.1"
INFO:aiohttp.access:20.64.105.234 [15/Mar/2026:08:02:45 +0000] "GET / HTTP/1.1" 404 174 "-" "Mozilla/5.0 zgrab/0.x"
INFO:aiohttp.access:20.64.105.234 [15/Mar/2026:08:02:51 +0000] "UNKNOWN / HTTP/1.0" 400 230 "-" "-"
INFO:aiogram.event:Update id=406095034 is handled. Duration 32 ms by bot id=8287902513
INFO:aiogram.event:Update id=406095035 is handled. Duration 87 ms by bot id=8287902513
INFO:aiogram.event:Update id=406095036 is handled. Duration 70 ms by bot id=8287902513
INFO:aiohttp.access:127.0.0.1 [15/Mar/2026:08:32:30 +0000] "GET /miniapp HTTP/1.0" 200 47814 "-" "Mozilla/5.0 (Linux; Android 15; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.7632.159 Mobile Safari/537.36 Telegram-Android/12.5.1 (Tecno TECNO CM7; Android 15; SDK 35; HIGH)"
